date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:04	10956/10956	---M--	200	added ('OK')	application/zip	date:Mon,%2019%20Feb%202001%2015:47:08%20GMT	www.ccim.be/ccim328/trucs/overlib.zip	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/overlib.zip	(from www.ccim.be/ccim328/trucs/info03.htm)
18:39:05	5051/5051	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:39:28%20GMT	www.ccim.be/ccim328/trucs/bgindex.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/bgindex.gif	(from www.ccim.be/ccim328/trucs/info09.html)
18:39:05	391/391	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:05%20GMT	www.ccim.be/ccim328/trucs/tbyeux.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/tbyeux.htm	(from www.ccim.be/ccim328/trucs/menu04.htm)
18:39:06	6389/6389	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202001%2015:55:39%20GMT	www.ccim.be/ccim328/trucs/tabmat.jpg	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/tabmat.jpg	(from www.ccim.be/ccim328/trucs/menu04.htm)
18:39:06	256/256	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:42:17%20GMT	www.ccim.be/ccim328/trucs/faq.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/faq.gif	(from www.ccim.be/ccim328/trucs/menu05.html)
18:39:07	232/232	---M--	200	added ('OK')	image/gif	date:Sun,%2025%20Feb%202001%2015:09:47%20GMT	www.ccim.be/ccim328/trucs/tutor.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/tutor.gif	(from www.ccim.be/ccim328/trucs/menu05.html)
18:39:07	394/394	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:06%20GMT	www.ccim.be/ccim328/trucs/menu04.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu04.html	(from www.ccim.be/ccim328/trucs/menu05.html)
18:39:07	394/394	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:07%20GMT	www.ccim.be/ccim328/trucs/bouton1.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/bouton1.gif	(from www.ccim.be/ccim328/trucs/menu05.html)
18:39:08	445312/445312	---M--	200	added ('OK')	application/pdf	date:Sat,%2013%20Feb%201999%2014:16:10%20GMT	www.ccim.be/ccim328/download/archi_doc.pdf	D:/HTML/cours%20HML/www.ccim.be/ccim328/download/archi_doc.pdf	(from www.ccim.be/ccim328/archi/down.htm)
18:39:09	7328/7328	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:46:32%20GMT	www.ccim.be/ccim328/trucs/menu1.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu1.js	(from www.ccim.be/ccim328/trucs/menu01.html)
18:39:09	96/96	---M--	200	added ('OK')	image/gif	date:Sun,%2025%20Feb%202001%2015:10:20%20GMT	www.ccim.be/ccim328/trucs/VIDE.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/VIDE.gif	(from www.ccim.be/ccim328/trucs/menu01.html)
18:39:10	3111/3111	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:46:44%20GMT	www.ccim.be/ccim328/trucs/menucontext.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menucontext.js	(from www.ccim.be/ccim328/trucs/menu01.html)
18:39:10	7329/7329	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2019%20Feb%202001%2015:46:12%20GMT	www.ccim.be/ccim328/trucs/menu.js	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu.js	(from www.ccim.be/ccim328/trucs/menu01.html)
18:39:10	4537/4537	---M--	200	added ('OK')	application/zip	date:Mon,%2019%20Feb%202001%2015:54:35%20GMT	www.ccim.be/ccim328/trucs/static_menu.zip	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/static_menu.zip	(from www.ccim.be/ccim328/trucs/menu01.html)
18:39:10	240/240	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:41%20GMT	www.ccim.be/ccim328/trucs/menu/text0.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text0.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:10	184/184	---M--	403	error ('Forbidden')	text/html	date:Mon,%2005%20Dec%202005%2018:29:10%20GMT	www.ccim.be/ccim328/trucs/menu/	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/index.html	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:10	236/236	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:42%20GMT	www.ccim.be/ccim328/trucs/menu/text1.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text1.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:11	241/241	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:44%20GMT	www.ccim.be/ccim328/trucs/menu/text2.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text2.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:11	240/240	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:47%20GMT	www.ccim.be/ccim328/trucs/menu/text4.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text4.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:11	240/240	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:48%20GMT	www.ccim.be/ccim328/trucs/menu/text5.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text5.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:11	241/241	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:49%20GMT	www.ccim.be/ccim328/trucs/menu/text6.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/text6.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:11	170/170	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:23%20GMT	www.ccim.be/ccim328/trucs/menu/1.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/1.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	172/172	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:26%20GMT	www.ccim.be/ccim328/trucs/menu/2.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/2.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	177/177	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:28%20GMT	www.ccim.be/ccim328/trucs/menu/3.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/3.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	176/176	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:33%20GMT	www.ccim.be/ccim328/trucs/menu/4.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/4.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	176/176	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:35%20GMT	www.ccim.be/ccim328/trucs/menu/5.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/5.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	178/178	---M--	200	added ('OK')	image/gif	date:Sat,%2013%20Feb%201999%2014:33:38%20GMT	www.ccim.be/ccim328/trucs/menu/6.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu/6.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:12	240/240	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2016:04:19%20GMT	www.ccim.be/ccim328/trucs/TEXT0.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/TEXT0.gif	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:13	410/410	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:12%20GMT	www.ccim.be/ccim328/trucs/script_original.zip	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/script_original.zip	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:13	9101/9101	---M--	200	added ('OK')	application/zip	date:Mon,%2019%20Feb%202001%2015:46:16%20GMT	www.ccim.be/ccim328/trucs/menu.zip	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu.zip	(from www.ccim.be/ccim328/trucs/menu06.html)
18:39:13	7078/7078	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202001%2015:46:22%20GMT	www.ccim.be/ccim328/trucs/menu02.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/menu02.html	(from www.ccim.be/ccim328/trucs/tbinfo.htm)
18:39:13	389/389	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:13%20GMT	www.ccim.be/ccim328/trucs/lien2.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/lien2.htm	(from www.ccim.be/ccim328/trucs/menu03.htm)
18:39:14	389/389	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:13%20GMT	www.ccim.be/ccim328/trucs/lien3.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/lien3.htm	(from www.ccim.be/ccim328/trucs/menu03.htm)
18:39:14	389/389	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:13%20GMT	www.ccim.be/ccim328/trucs/lien4.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/lien4.htm	(from www.ccim.be/ccim328/trucs/menu03.htm)
18:39:14	1819/1819	---M--	200	added ('OK')	image/gif	date:Mon,%2019%20Feb%202001%2015:45:00%20GMT	www.ccim.be/ccim328/trucs/IMGMENU.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/trucs/IMGMENU.gif	(from www.ccim.be/ccim328/trucs/menu07.html)
18:39:14	382/382	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:29:14%20GMT	www.ccim.be/ccim328/tbtexte.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/tbtexte.htm	(from www.ccim.be/ccim328/trucs/menu09.html)
